# id 用户名 密码 会员等级 总消费
1 张三 12345 PLATINUM 10084
2 李四 456789 SILVER 1500
3 王五 passwd1 GOLD 6000
4 赵六 pwd2024 REGULAR 500
5 孙七 123abc SILVER 1200
6 周八 pass888 GOLD 5500
7 吴九 mypass REGULAR 300
8 郑十 qwerty PLATINUM 15000
9 刘11 aaa111 SILVER 2000
10 陈12 bbb222 GOLD 7500
11 杨13 ccc333 REGULAR 800
12 黄14 ddd444 PLATINUM 12000
13 何15 eee555 SILVER 1800
14 高16 fff666 GOLD 5200
15 林17 ggg777 REGULAR 600
16 邵18 hhh888 PLATINUM 11000
17 冯19 iii999 SILVER 2500
18 史20 jjj000 GOLD 6500
19 曾21 kkk111 REGULAR 450
20 肖22 lll222 PLATINUM 13500
21 马23 mmm333 SILVER 1600
22 朱24 nnn444 REGULAR 700
23 胡25 ooo555 GOLD 5800
24 郭26 ppp666 PLATINUM 14000
25 罗27 qqq777 SILVER 1900
26 梁28 rrr888 REGULAR 550
27 宋29 sss999 GOLD 6200
28 谢30 ttt000 PLATINUM 11500
29 韩31 uuu111 SILVER 2100
30 唐32 vvv222 REGULAR 400
31 冯33 www333 GOLD 5400
32 于34 xxx444 PLATINUM 12500
33 董35 yyy555 SILVER 1700
34 萧36 zzz666 REGULAR 650
35 程37 aaa777 GOLD 5900
36 曹38 bbb888 PLATINUM 13000
37 袁39 ccc999 SILVER 2200
38 邓40 ddd000 REGULAR 480
39 许41 eee111 GOLD 6100
40 傅42 fff222 PLATINUM 14500
41 沈43 ggg333 SILVER 1850
42 曾44 hhh444 REGULAR 720
43 彭45 iii555 GOLD 5700
44 吕46 jjj666 PLATINUM 11800
45 苏47 kkk777 SILVER 2300
46 卢48 lll888 REGULAR 520
47 蒋49 mmm999 GOLD 6300
48 蔡50 nnn000 PLATINUM 12800
49 贾51 ooo111 SILVER 1950
50 丁52 ppp222 REGULAR 680
51 魏53 qqq333 GOLD 5600
52 薛54 rrr444 PLATINUM 13200
53 叶55 sss555 SILVER 2400
54 阎56 ttt666 REGULAR 580
55 余57 uuu777 GOLD 6400
56 潘58 vvv888 PLATINUM 11200
57 杜59 www999 SILVER 2050
58 戴60 xxx000 REGULAR 750
59 夏61 yyy111 GOLD 5300
60 钟62 zzz222 PLATINUM 14200
61 汪63 aaa333 SILVER 1750
62 田64 bbb444 REGULAR 620
63 任65 ccc555 GOLD 6000
64 姜66 ddd666 PLATINUM 12200
65 范67 eee777 SILVER 2150
66 方68 fff888 REGULAR 500
67 石69 ggg999 GOLD 5500
68 姚70 hhh000 PLATINUM 13800
69 谭71 iii111 SILVER 1800
70 廖72 jjj222 REGULAR 690
71 邹73 kkk333 GOLD 5800
72 熊74 lll444 PLATINUM 11600
73 金75 mmm555 SILVER 2250
74 陆76 nnn666 REGULAR 540
75 郝77 ooo777 GOLD 6200
76 孔78 ppp888 PLATINUM 12600
77 白79 qqq999 SILVER 1900
78 崔80 rrr000 REGULAR 710
79 康81 sss111 GOLD 5400
80 毛82 ttt222 PLATINUM 14800
81 邱83 uuu333 SILVER 2350
82 秦84 vvv444 REGULAR 560
83 江85 www555 GOLD 6100
84 史86 xxx666 PLATINUM 11400
85 顾87 yyy777 SILVER 2000
86 侯88 zzz888 REGULAR 640
87 邵89 aaa999 GOLD 5700
88 孟90 bbb000 PLATINUM 13400
89 龙91 ccc111 SILVER 1850
90 万92 ddd222 REGULAR 730
91 段93 eee333 GOLD 5900
92 雷94 fff444 PLATINUM 12400
93 钱95 ggg555 SILVER 2100
94 汤96 hhh666 REGULAR 510
95 尹97 iii777 GOLD 6300
96 黎98 jjj888 PLATINUM 11900
97 易99 kkk999 SILVER 1950
98 常100 lll000 REGULAR 670
99 武101 mmm111 GOLD 5500
100 乔102 nnn222 PLATINUM 14100
101 贺103 ooo333 SILVER 2200
102 赖104 ppp444 REGULAR 590
103 龚105 qqq555 GOLD 6000
104 文106 rrr666 PLATINUM 12100
105 施107 sss777 SILVER 1800
106 洪108 ttt888 REGULAR 700
107 季109 uuu999 GOLD 5600
108 陶110 vvv000 PLATINUM 13600
109 翟111 www111 SILVER 2300
110 安112 xxx222 REGULAR 530
111 颜113 yyy333 GOLD 6200
112 倪114 zzz444 PLATINUM 11700
113 严115 aaa555 SILVER 2050
114 牛116 bbb666 REGULAR 660
115 温117 ccc777 GOLD 5800
116 芦118 ddd888 PLATINUM 12900
117 季119 eee999 SILVER 1900
118 俞120 fff000 REGULAR 740
119 章121 ggg111 GOLD 5400
120 鲁122 hhh222 PLATINUM 14300
121 葛123 iii333 SILVER 2150
122 韦124 jjj444 REGULAR 570
123 昌125 kkk555 GOLD 6100
124 马126 lll666 PLATINUM 11300
125 苗127 mmm777 SILVER 2000
126 凤128 nnn888 REGULAR 630
127 花129 ooo999 GOLD 5700
128 方130 ppp000 PLATINUM 13300
129 俞131 qqq111 SILVER 1850
130 任132 rrr222 REGULAR 720
131 袁133 sss333 GOLD 5900
132 柳134 ttt444 PLATINUM 12300
133 酆135 uuu555 SILVER 2250
134 鲍136 vvv666 REGULAR 550
135 史137 www777 GOLD 6300
136 唐138 xxx888 PLATINUM 11800
137 费139 yyy999 SILVER 1950
138 廉140 zzz000 REGULAR 680
139 岑141 aaa111 GOLD 5500
140 薛142 bbb222 PLATINUM 14000
141 雷143 ccc333 SILVER 2350
142 贺144 ddd444 REGULAR 580
143 倪145 eee555 GOLD 6000
144 汤146 fff666 PLATINUM 12000
145 滕147 ggg777 SILVER 1800
146 殷148 hhh888 REGULAR 710
147 罗149 iii999 GOLD 5600
148 毕150 jjj000 PLATINUM 13500
149 郝151 kkk111 SILVER 2100
150 邬152 lll222 REGULAR 520
151 安153 mmm333 GOLD 6200
152 常154 nnn444 PLATINUM 11500
153 乐155 ooo555 SILVER 2050
154 于156 ppp666 REGULAR 650
155 时157 qqq777 GOLD 5800
156 傅158 rrr888 PLATINUM 12700
157 皮159 sss999 SILVER 1900
158 卞160 ttt000 REGULAR 730
159 齐161 uuu111 GOLD 5400
160 康162 vvv222 PLATINUM 14400
161 伍163 www333 SILVER 2200
162 余164 xxx444 REGULAR 590
163 元165 yyy555 GOLD 6100
164 卜166 zzz666 PLATINUM 11100
165 顾167 aaa777 SILVER 2000
166 孟168 bbb888 REGULAR 640
167 平169 ccc999 GOLD 5700
168 黄170 ddd000 PLATINUM 13100
169 和171 eee111 SILVER 1850
170 穆172 fff222 REGULAR 700
171 萧173 ggg333 GOLD 5900
172 尹174 hhh444 PLATINUM 12200
173 姚175 iii555 SILVER 2150
174 邵176 jjj666 REGULAR 560
175 湛177 kkk777 GOLD 6300
176 汪178 lll888 PLATINUM 11600
177 祁179 mmm999 SILVER 1950
178 毛180 nnn000 REGULAR 670
179 禹181 ooo111 GOLD 5500
180 狄182 ppp222 PLATINUM 14100
181 米183 qqq333 SILVER 2300
182 贝184 rrr444 REGULAR 540
183 明185 sss555 GOLD 6000
184 臧186 ttt666 PLATINUM 12500
185 计187 uuu777 SILVER 1800
186 伏188 vvv888 REGULAR 720
187 成189 www999 GOLD 5600
188 戴190 xxx000 PLATINUM 13700
189 谈191 yyy111 SILVER 2050
190 宋192 zzz222 REGULAR 610
191 茅193 aaa333 GOLD 5800
192 庞194 bbb444 PLATINUM 11400
193 熊195 ccc555 SILVER 2200
194 纪196 ddd666 REGULAR 570
195 舒197 eee777 GOLD 6200
196 屈198 fff888 PLATINUM 12800
197 项199 ggg999 SILVER 1900
198 祝200 hhh000 REGULAR 690

199 1 1 REGULAR 768
